folder,pop,picname,Body_weight(g),Total_length(mm),Standard_length(mm),cal
MKZ,MKZ,20170913007_R,315.3,385.2,267.32,386
MKZ,MKZ,20170913008_L,188,291.68,235.49,386
MKZ,MKZ,20170913009_L,94.4,231,189.48,386
MKZ,MKZ,20170913010_L,84.2,223.92,178.2,386
MKZ,MKZ,20170913011_L,87.4,217.37,179.88,386
MKZ,MKZ,20170913012_L,104.1,221.7,174.51,386
MKZ,MKZ,20170913013_L,104.9,225.93,191.44,386
MKZ,MKZ,20170913014_L,68.4,204.48,163.43,386
MKZ,MKZ,20170913015_L,67.4,205.59,163.39,386
MKZ,MKZ,20170913016_L,54.3,181.75,150.03,386
MKZ,MKZ,20170913017_L,51.4,180.5,149.94,386
MKZ,MKZ,20170913018_L,47.1,179.16,146.53,386
MKZ,MKZ,20170913019_L,54.8,187.22,151.4,386
MKZ,MKZ,20170913020_L,47.2,181.13,144.17,386
MKZ,MKZ,20170913021_L,42.4,178.52,141.32,386
MKZ,MKZ,20170913022_L,45.5,173.86,136.5,386
MKZ,MKZ,20170913023_R,48.8,175.33,138.99,386
MKZ,MKZ,20170913024_L,51.5,184.33,145.29,386
MKZ,MKZ,20170913025_L,38.9,171.2,135.26,386
MKZ,MKZ,20170913026_L,46,174.61,141.14,386
MKZ,MKZ,20170913027_L,40.8,174.78,136.74,386
MKZ,MKZ,20170913028_R,42.5,175.65,143.44,386
MKZ,MKZ,20170913029_L,47.9,174.82,139.95,386
MKZ,MKZ,20170913030_L,46.4,170.07,138.18,386
MKZ,MKZ,20170913031_L,42.1,173.57,137.82,386
MKZ,MKZ,20170913032_L,36.7,169.07,135.18,386
MKZ,MKZ,20170913033_R,33.7,161.21,130.62,386
MKZ,MKZ,20170913034_L,33.6,159.58,129.64,386
MKZ,MKZ,20170913035_L,28.9,152.12,120.46,386
MKZ,MKZ,20170913036_L,22,135.99,108.95,386
MKZ,MKZ,20170913037_L,27.2,140.92,114.41,386
MKZ,MKZ,20170913038_L,23.6,133.4,109.64,386
MKZ,MKZ,20170913039_L,14.5,114.44,91.35,386
MKZ,MKZ,20170913040_L,18.1,126.19,101.35,386
MKZ,MKZ,20170913041_L,15.1,116.27,91.95,386
MKZ,MKZ,20170913043_L,9.9,106.18,84.19,386
MKZ,MKZ,20170913044_L,10.1,101.63,81.97,386
MKZ,MKZ,20170913045_L,9.3,99.37,82.75,386
MKZ,MKZ,20170913046_L,11.1,104.8,85,386
MKZ,MKZ,20170913047_L,9.6,101.89,81.97,386
MKZ,MKZ,20170913048_L,10.8,104.18,85.1,386
MKZ,MKZ,20170913049_L,10.5,101.84,79.19,386
MKZ,MKZ,20170913050_L,11.8,103.12,84.93,386
MKZ,MKZ,20170913051_L,11.3,106.58,84.43,386
MKZ,MKZ,20170913052_L,11.1,106.27,85.78,386
MKZ,MKZ,20170913053_L,10.5,98.92,81.48,386
MKZ,MKZ,20170913054_L,7.1,88.55,70.25,386
MKZ,MKZ,20170913055_L,8.1,93.17,76.66,386
MKZ,MKZ,20170913057_L,10.7,100.61,80.08,386
MKZ,MKZ,20170913058_L,9.6,97.37,79.35,386
MKZ,MKZ,20170913059_L,7.8,95.28,75.03,386
MKZ,MKZ,20170913060_L,7.9,92.39,73.32,386
MKZ,MKZ,20170913061_L,8.3,89.97,72.2,386
MKZ,MKZ,20170913062_L,11.5,105.92,86.36,386
MKZ,MKZ,20170913063_L,11.5,111.88,87.6,386
MKZ,MKZ,20170913064_L,12.9,104.25,80.04,386
MKZ,MKZ,20170913065_L,8.9,96.69,78.49,386
MKZ,MKZ,20170913066_L,8.7,96.29,75.13,386
MKZ,MKZ,20170913067_L,9.7,97.35,78.05,386
MKZ,MKZ,20170913068_L,5.1,84.75,66.05,386
MKZ,MKZ,20170913069_L,5.5,88.89,70.27,386
MKZ,MKZ,20170913070_L,6.9,90.47,72.81,386
MKZ,MKZ,20170913071_L,6.9,93.24,73.4,386
MKZ,MKZ,20170913072_L,7.9,93.4,75.01,386
MKZ,MKZ,20170913073_L,5.9,83.94,67.5,386
MKZ,MKZ,20170913074_L,9.5,98.69,80.36,386
MKZ,MKZ,20170913077_L,7.5,94.44,77.3,386
MKZ,MKZ,20170913078_L,5.7,86.98,68.77,386
MKZ,MKZ,20170913079_L,7.2,85.87,71.26,386
MKZ,MKZ,20170913080_L,4.5,76.27,59.33,386
MKZ,MKZ,20170913081_L,3.8,71.17,57.9,386
MKZ,MKZ,20170913082_L,3.7,73.05,57.68,386
MKZ,MKZ,20170913083_L,3.5,71.32,56.38,386
MKZ,MKZ,20170913084_L,4.2,74.04,62.66,386
MKZ,MKZ,20170913085_L,4.8,81.82,65.58,386
MKZ,MKZ,20170913086_L,4.1,73.84,58.74,386
MKZ,MKZ,20170913087_L,3.4,72.08,56.05,386
MKZ,MKZ,20170917002_L,203.4,289.6,237.49,386
MKZ,MKZ,20170917003_L,184.5,286.35,231.64,386
MKZ,MKZ,20170917004_L,80.8,215.04,172.97,386
MKZ,MKZ,20170917005_L,59.4,201.94,163.89,386
MKZ,MKZ,20170917006_L,58.3,191.24,155.55,386
MKZ,MKZ,20170917007_L,52.2,182.42,146.99,386
MKZ,MKZ,20170917008_L,51.4,182.91,144.34,386
MKZ,MKZ,20170917009_L,52.3,193.76,157.02,386
MKZ,MKZ,20170917010_L,65.8,195.67,157.57,386
MKZ,MKZ,20170917011_L,55.7,186.49,153.37,386
MKZ,MKZ,20170917012_L,60.1,187.38,154.59,386
MKZ,MKZ,20170917013_L,77.6,215.63,175.32,386
MKZ,MKZ,20170917014_L,48,190.64,151.03,386
MKZ,MKZ,20170917015_L,55.4,189.87,153.39,386
MKZ,MKZ,20170917016_L,35.7,171.65,133.87,386
MKZ,MKZ,20170917017_L,43.1,184.77,149.29,386
MKZ,MKZ,20170917018_L,44,178.12,146.16,386
MKZ,MKZ,20170917020_L,26.3,153.86,119.83,386
MKZ,MKZ,20170917021_L,29.3,149.82,121.95,386
MKZ,MKZ,20170917023_L,13.3,115.26,94.48,386
MKZ,MKZ,20170917024_L,12.3,110.05,89.62,386
MKZ,MKZ,20170917025_L,11.1,105.73,86.47,386
MKZ,MKZ,20170917026_L,11.8,107.63,86.54,386
MKZ,MKZ,20170917027_L,14.2,115.7,93.8,386
MKZ,MKZ,20170917028_L,10.7,105.33,85.72,386
MKZ,MKZ,20170917029_L,10.6,105.69,85.14,386
MKZ,MKZ,20170917031_L,9.4,103.68,83.75,386
MKZ,MKZ,20170917032_L,10.7,105.33,85.72,386
MKZ,MKZ,20170917033_L,8.8,103.56,83.32,386
MKZ,MKZ,20170917034_L,12.3,109.04,87.02,386
MKZ,MKZ,20170917035_L,11.1,106.39,87.03,386
MKZ,MKZ,20170917036_L,8.3,95.62,78.26,386
MKZ,MKZ,20170917037_L,8.2,98.5,76.7,386
MKZ,MKZ,20170917038_L,11.3,111.29,86.93,386
MKZ,MKZ,20170917039_L,7.6,97.88,78.75,386
MKZ,MKZ,20170917040_L,7.7,94.11,75.19,386
MKZ,MKZ,20170917041_L,7.8,100.78,79.48,386
MKZ,MKZ,20170917042_L,7.6,95.68,77.82,386
MKZ,MKZ,20170917043_L,10.6,101.57,83.4,386
MKZ,MKZ,20170917044_L,7.7,97.33,78.62,386
MKZ,MKZ,20170917045_L,7.3,93.42,74.73,386
MKZ,MKZ,20170917046_L,8.3,98.97,77.59,386
MKZ,MKZ,20170917048_L,7.1,92.15,73.99,386
MKZ,MKZ,20170917049_L,6.6,89.85,71.83,386
MKZ,MKZ,20170917050_L,4.5,82.37,65.03,386
MKZ,MKZ,20170917051_L,5.3,84.43,65.64,386
MKZ,MKZ,20170917053_L,5.7,90.19,69.97,386
MKZ,MKZ,20170917054_L,4.9,80.79,65.44,386
MKZ,MKZ,20170917055_L,4.2,77.05,63.02,386
MKZ,MKZ,20170917056_L,3.8,76.49,60.5,386
MKZ,MKZ,20170917057_L,3.3,76.54,60.84,386
MKZ,MKZ,20170917058_L,2.2,66.71,51.56,386
MKZ,MKZ,20170917059_L,5.3,87.41,69.46,386
MKZ,MKZ,20170917061_L,6.8,92.42,73.04,386
MKZ,MKZ,20170917062_L,7,91.39,73.25,386
MKZ,MKZ,20170917063_L,4.8,78.29,63.12,386
MKZ,MKZ,20170917064_L,4.4,78.4,61.38,386
MKZ,MKZ,20170917065_L,5,83.02,66.16,386
MKZ,MKZ,20170917066_L,4.3,79.42,62.75,386
MKZ,MKZ,20170917067_L,4.2,77.06,61.32,386
MKZ,MKZ,20170917068_L,3.6,72.01,55.99,386
